
------------------------------------HYDRO_TEST_DATA
Amplitude	Frequency_1	K-DYN FOU_1	ANGLE FOU_1
mm	Hz	N/mm	deg

$------------------------------------------------------HYDRO_IDENTIFICATION_DATA
[HYDRO_IDENTIFICATION_DATA]
{amplitude    frequency    cdyn    phase}
1	1	329.802	6.703
1	2	338.817	7.035
1	3	343.744	7.204
1	4	349.057	7.386
1	5	353.094	7.481
1	6	355.363	7.513
1	7	358.049	7.527
1	8	361.044	7.528
1	9	363.73	7.523
1	10	365.584	7.522
1	11	366.922	7.5
1	12	368.972	7.478
1	13	371.623	7.443
1	14	373.35	7.425
1	15	374.725	7.373
1	16	376.631	7.344
1	17	378.958	7.269
1	18	381.904	7.196
1	19	383.981	7.118
1	20	386.112	7.079
1	21	387.752	6.762
1	22	389.51	6.082
1	23	390.771	6.352
1	24	391.688	6.5
1	25	393.067	6.635
1	26	393.697	6.533
1	27	395.879	6.369
1	28	397.002	6.345
1	29	398.944	6.217
1	30	395.047	6.298
2	1	304.72	6.717
2	2	312.705	7.116
2	3	315.902	7.222
2	4	319.733	7.3
2	5	322.902	7.339
2	6	325.167	7.365
2	7	326.784	7.368
2	8	328.478	7.38
2	9	329.977	7.359
2	10	332.297	7.34
2	11	333.734	7.312
2	12	334.379	7.264
2	13	335.96	7.221
2	14	338.031	7.18
2	15	340.253	7.118
2	16	341.694	7.062
2	17	342.815	6.979
2	18	344.37	6.905
2	19	346.85	6.84
2	20	349.783	6.747
2	21	351.041	6.257
2	22	352.853	6.514
0.4	1	355.536	6.361
0.4	2	367.963	6.534
0.4	3	375.212	6.364
0.4	4	381.274	6.419
0.4	5	385.753	6.473
0.4	6	390.14	6.5
0.4	7	394.502	6.491
0.4	8	398.587	6.45
0.4	9	401.094	6.416
0.4	10	403.724	6.371
0.4	11	407.112	6.331
0.4	12	410.203	6.313
0.4	13	412.931	6.239
0.4	14	415.411	6.203
0.4	15	417.752	6.123
0.4	16	420.922	6.058
0.4	17	424.036	6.035
0.4	18	426.527	5.909
0.4	19	428.763	5.826
0.4	20	431.335	5.672
0.4	21	433.059	5.262
0.4	22	435.305	5.654
0.4	23	437.888	5.641
0.4	24	439.495	5.335
0.4	25	441.34	5.565
0.4	26	442.26	5.442
0.4	27	443.668	5.317
0.4	28	445.9	5.355
0.4	29	447.742	5.225
0.4	30	449.87	4.972
$----------------------------------------------------------------HYDRO_TEST_DATA
[HYDRO_TEST_DATA]
{amplitude    frequency    cdyn    phase}
1	1	319.802	6.803
1	2	328.817	7.135
1	3	333.744	7.304
1	4	339.057	7.486
1	5	343.094	7.581
1	6	345.363	7.613
1	7	348.049	7.727
1	8	351.044	7.628
1	9	353.73	7.623
1	10	355.584	7.622
1	11	356.922	7.6
1	12	358.972	7.578
1	13	361.623	7.543
1	14	363.35	7.525
1	15	364.725	7.473
1	16	366.631	7.444
1	17	368.958	7.369
1	18	371.904	7.296
1	19	373.981	7.218
1	20	376.112	7.179
1	21	377.752	6.862
1	22	379.51	6.182
1	23	380.771	6.452
1	24	381.688	6.6
1	25	383.067	6.735
1	26	383.697	6.633
1	27	385.879	6.469
1	28	387.002	6.445
1	29	388.944	6.317
1	30	390.047	6.498
2	1	294.72	6.817
2	2	302.705	7.216
2	3	305.902	7.322
2	4	309.733	7.4
2	5	312.902	7.439
2	6	315.167	7.465
2	7	316.784	7.468
2	8	318.478	7.48
2	9	319.977	7.459
2	10	322.297	7.44
2	11	323.734	7.412
2	12	324.379	7.364
2	13	325.96	7.321
2	14	328.031	7.28
2	15	330.253	7.218
2	16	331.694	7.162
2	17	332.815	6.999
2	18	334.37	7.005
2	19	336.85	6.94
2	20	339.783	6.847
2	21	341.041	6.357
2	22	342.853	6.614
0.4	1	345.536	6.461
0.4	2	357.963	6.634
0.4	3	365.212	6.464
0.4	4	371.274	6.519
0.4	5	375.753	6.573
0.4	6	380.14	6.6
0.4	7	384.502	6.591
0.4	8	388.587	6.55
0.4	9	391.094	6.516
0.4	10	393.724	6.471
0.4	11	397.112	6.431
0.4	12	400.203	6.413
0.4	13	402.931	6.339
0.4	14	405.411	6.303
0.4	15	407.752	6.223
0.4	16	410.922	6.158
0.4	17	414.036	6.135
0.4	18	416.527	6.009
0.4	19	418.763	5.926
0.4	20	421.335	5.772
0.4	21	423.059	5.362
0.4	22	425.305	5.754
0.4	23	427.888	5.741
0.4	24	429.495	5.435
0.4	25	431.34	5.665
0.4	26	432.26	5.542
0.4	27	433.668	5.417
0.4	28	435.9	5.455
0.4	29	437.742	5.325
0.4	30	439.87	5.072
$OBJECTIVE_FUNCTION    = 0.4881
$INTEGRATOR_ERROR      = 0.0050
$STEADY_STATE_ERROR    = 0.0500
$CONVERGENCE_TOLERANCE = 0.0010
$*** OPTIMIZATION SUCCESSFULLY FINISHED ***
