
------------------------------------HYDRO_TEST_DATA
Frequency_1	K-DYN FOU_1	ANGLE FOU_1
mm	Hz	N/mm	deg

$------------------------------------------------------HYDRO_IDENTIFICATION_DATA
[HYDRO_IDENTIFICATION_DATA]
{amplitude    frequency    cdyn    phase}
1	1	239.854	6.934
1	2	246.46	7.484
1	3	249.402	7.534
1	4	253.012	7.736
1	5	255.969	7.844
1	6	258.103	7.978
1	7	259.797	7.919
1	8	261.664	7.957
1	9	263.197	7.961
1	10	264.815	7.994
1	11	266.146	8.003
1	12	267.358	7.99
1	13	269.046	7.944
1	14	270.679	7.882
1	15	272.423	7.808
1	16	273.814	7.745
1	17	274.803	7.7
1	18	276.466	7.662
1	19	277.342	7.668
1	20	278.464	7.677
1	21	279.604	7.094
1	22	280.668	6.797
1	23	281.583	6.876
1	24	282.962	6.916
1	25	283.526	6.844
1	26	284.694	6.886
1	27	285.177	6.774
1	28	286.203	6.669
1	29	286.652	6.477
1	30	287.887	6.633
2	1	220.122	6.996
2	2	225.736	7.523
2	3	228.136	7.672
2	4	230.479	7.751
2	5	232.437	7.805
2	6	234.022	7.837
2	7	235.486	7.851
2	8	236.514	7.887
2	9	237.674	7.914
2	10	238.581	7.935
2	11	240.11	7.919
2	12	241.232	7.869
2	13	242.237	7.801
2	14	243.542	7.713
2	15	244.785	7.67
2	16	245.514	7.65
2	17	246.481	7.627
2	18	247.122	7.629
2	19	248.126	7.549
2	20	249.246	7.441
2	21	250.273	7.402
2	22	251.091	7.272
0.4	1	258.877	6.422
0.4	2	267.182	6.653
0.4	3	271.467	6.622
0.4	4	276.178	6.753
0.4	5	280.084	6.876
0.4	6	283.116	6.946
0.4	7	285.901	6.947
0.4	8	288.775	6.991
0.4	9	291.452	6.975
0.4	10	293.774	6.987
0.4	11	295.595	6.998
0.4	12	298.152	6.948
0.4	13	295.581	6.882
0.4	14	297.769	6.803
0.4	15	299.94	6.712
0.4	16	301.954	6.609
0.4	17	309.155	6.567
0.4	18	311.599	6.488
0.4	19	313.096	6.416
0.4	20	314.055	6.284
0.4	21	315.456	6.535
0.4	22	316.925	6.431
0.4	23	317.713	6.603
0.4	24	318.911	6.462
0.4	25	319.528	5.992
0.4	26	320.417	5.926
0.4	27	321.561	5.879
0.4	28	322.552	5.88
0.4	29	323.521	5.753
0.4	30	324.065	5.698
$----------------------------------------------------------------HYDRO_TEST_DATA
[HYDRO_TEST_DATA]
{amplitude    frequency    cdyn    phase}
1	1	229.854	6.834
1	2	236.46	7.284
1	3	239.402	7.434
1	4	243.012	7.636
1	5	245.969	7.744
1	6	248.103	7.778
1	7	249.797	7.819
1	8	251.664	7.857
1	9	253.197	7.861
1	10	254.815	7.894
1	11	256.146	7.903
1	12	257.358	7.89
1	13	259.046	7.844
1	14	260.679	7.782
1	15	262.423	7.708
1	16	263.814	7.645
1	17	264.803	7.6
1	18	266.466	7.562
1	19	267.342	7.568
1	20	268.464	7.577
1	21	269.604	6.994
1	22	270.668	6.697
1	23	271.583	6.776
1	24	272.962	6.816
1	25	273.526	6.744
1	26	274.694	6.786
1	27	275.177	6.674
1	28	276.203	6.569
1	29	276.652	6.377
1	30	277.887	6.533
2	1	210.122	6.936
2	2	215.736	7.423
2	3	218.136	7.572
2	4	220.479	7.651
2	5	222.437	7.705
2	6	224.022	7.737
2	7	225.486	7.751
2	8	226.514	7.787
2	9	227.674	7.814
2	10	228.581	7.835
2	11	230.11	7.819
2	12	231.232	7.769
2	13	232.237	7.701
2	14	233.542	7.613
2	15	234.785	7.57
2	16	235.514	7.55
2	17	236.481	7.527
2	18	237.122	7.529
2	19	238.126	7.449
2	20	239.246	7.341
2	21	240.273	7.302
2	22	241.091	7.172
0.4	1	248.877	6.322
0.4	2	257.182	6.553
0.4	3	261.467	6.522
0.4	4	266.178	6.653
0.4	5	270.084	6.776
0.4	6	273.116	6.846
0.4	7	275.901	6.847
0.4	8	278.775	6.901
0.4	9	281.452	6.875
0.4	10	283.774	6.887
0.4	11	285.595	6.898
0.4	12	288.152	6.848
0.4	13	290.581	6.782
0.4	14	292.769	6.703
0.4	15	294.94	6.612
0.4	16	296.954	6.509
0.4	17	299.155	6.467
0.4	18	301.599	6.388
0.4	19	303.096	6.316
0.4	20	304.055	6.184
0.4	21	305.456	6.435
0.4	22	306.925	6.331
0.4	23	307.713	6.503
0.4	24	308.911	6.362
0.4	25	309.528	5.902
0.4	26	310.417	5.826
0.4	27	311.561	5.779
0.4	28	312.552	5.78
0.4	29	313.521	5.653
0.4	30	314.065	5.498
$OBJECTIVE_FUNCTION    = 0.4881
$INTEGRATOR_ERROR      = 0.0050
$STEADY_STATE_ERROR    = 0.0500
$CONVERGENCE_TOLERANCE = 0.0010
$*** OPTIMIZATION SUCCESSFULLY FINISHED ***
